restaurante,city,num_of_reviews,avg_rating
Guelaguetza Restaurant,Los Angeles,4180,4.3
Mariscos 4 Vientos,Los Angeles,3357,4.5
El Huero Drive Thru,Los Angeles,3042,4.4
South Beach Bar & Grille,San Diego,2632,4.4
Taqueria El Paisa@.com,Oakland,2230,4.5
Taco Station,Riverside,2142,4.4
King Taco # 20,El Monte,2098,4.1
Amapola Rico Taco,San Bernardino,1928,4.1
TAQUERIA VIVA VILLA MARKET,Fontana,1713,4.3
Tacos Mexico,Victorville,1612,4.2
"Casa de Freds, Tacos y Tequila",San Diego,1431,4.2
King Taco # 1,Los Angeles,1423,4.3
Boca Del Rio,La Puente,1368,4.5
Casa Torres Restaurante y Cantina,Los Angeles,1358,4.2
Taqueria HOY!,Orange,1344,4.3
SOL Mexican Cocina,Newport Beach,1336,4.4
El Torito,Lakewood,1328,4.1
Tacos El Gavilan,Los Angeles,1308,4.3
Taco Bell,Sacramento,1271,3.7
Angelo's Burgers,Oceanside,1264,4.0
Taqueria Vallarta,San Francisco,1214,4.3
Taco Bell,Los Angeles,1208,3.9
Ponce's Mexican Restaurant,San Diego,1201,4.5
Benny's Tacos & Rotisserie Chicken in Westchester,Los Angeles,1192,4.4
Cabo Cantina,Marina del Rey,1188,4.0
Sonora Grill,Moreno Valley,1186,4.6
Misky Misky Cocina Peruana,West Covina,1123,4.5
Chili's,Modesto,1093,4.2
Green Onion,Moreno Valley,1078,4.4
Chacho's,San Jose,1063,4.1
Green Onion Mexican Restaurant,Los Angeles,1054,4.4
Adalberto's Méxican Food Restaurant,Rocklin,1048,4.3
Mariscos Uruapan Restaurant,Baldwin Park,1046,4.3
Del Taco,Pasadena,1035,3.7
Taco Bell,Riverside,1018,3.8
Hacienda Grill,Big Bear Lake,1017,4.0
Taco Bell,Los Angeles,1017,4.0
Metro Taquero,Hayward,977,4.1
Dos Amigos Tortas,Highland,971,4.4
Carmelita's Méxican Restaurant,Roseville,961,4.4
The Galley Fish Tacos,Victorville,941,4.6
Frida Mexican Cuisine,Torrance,933,4.3
Isabella's Bar & Grill,Atwater,895,4.4
Kico's Méxican Food,Sacramento,868,4.1
El Torito,Los Angeles,858,4.2
TANTO Japanese Restaurant,Sunnyvale,858,4.4
Taco Bell,Chico,847,3.5
Anita's Mexican Restaurant & Cantina,Oceanside,843,4.3
El Pollo Loco,Sacramento,837,4.0
Chili's Grill & Bar,Paso Robles,827,4.0
Chipotle Mexican Grill,Sacramento,826,3.9
