id_restaurant,name,city,rating,num_of_reviews,category
0x14e1b0df6d819dab:0x928b6349b7fbe2f4,Tacos MX,Los Angeles,1.9,30,['Mexican restaurant']
0x54ce4585d5d87485:0x3fc873627fddcaa,Josefina’s taqueria,Yreka,3.3,12,['Mexican restaurant']
0x54d15705f9c1f257:0x3dc5274dc6db634c,Almas Mexican Food,Arcata,2.8,28,['Mexican restaurant']
0x54d1570fc46166b5:0x214121ab7d54d1cc,Taqueria La Chiquita,Arcata,2.5,45,['Mexican restaurant']
0x54d157a5a1e8dc63:0x264997247a44b066,Adriana's Mexican & American Restaurant,Arcata,1.7,34,['Mexican restaurant']
0x54d2c16ea7e3c1e5:0x89c63bdbd539798e,La Casa Cuevas Mexican Food,Anderson,2.5,10,['Mexican restaurant']
0x54d3d834e6e6e71b:0x4e97208d593471ed,Aztec Grill,Santa Rosa,2.2,26,['Mexican restaurant']
0x8080359891e67847:0x97877fd28d64010e,La Estrella,Fort Bragg,3.5,18,['Mexican restaurant']
0x80804d34ec76b7ef:0xc1dc229361d7e26e,Mendocino Taquería,Mendocino,2.0,11,['Mexican restaurant']
0x80813b03d81c1613:0xc10f8d1b53a0d35b,Mariachi’s Restaurant,Gualala,1.3,31,['Mexican restaurant']
0x808164e49be77bd3:0x8192739ba5e39ebf,El Kora y El Sinaloense Restaurant,Ukiah,2.3,55,['Mexican restaurant']
0x808164fc7e0d2e61:0xad39d60708d644b0,Eddie's Cocina Authentic Mexican,Ukiah,2.5,60,['Mexican restaurant']
0x80819991dfeec7b7:0xcf573ed5458889a,Taqueria Ramirez,Willits,2.7,23,['Mexican restaurant']
0x808283027c4aa68f:0xf5ad82d5e2ad58c4,TACOS COTIJA,Red Bluff,1.8,13,['Mexican restaurant']
0x8082838b0443b0c9:0xe4fb2f5b8215c43f,El Gallo Giro,Red Bluff,2.6,13,['Mexican restaurant']
0x808283a78031bad9:0x35403f37dd36843d,Del Taco,Bakersfield,1.5,832,['Mexican restaurant']
0x8082d88129478ad9:0xe4fcc675e538bd3d,Taco Bell,Alameda,1.3,612,['Mexican restaurant']
0x808326348241a3e9:0xd951d59ee17bbac4,Tacos Cortes,Chico,2.1,20,['Mexican restaurant']
0x8083279c7f5f8681:0xf1fa8452f7140ae7,Mi Jalisco Mexican Grille,Chico,2.5,42,['Mexican restaurant']
0x808327a66096ae13:0xc9f41a8db716329b,Taqueria Pinolera,Chico,2.4,21,['Mexican restaurant']
0x808327b5d6b7d4df:0xa24ae97f9dcfc9fd,Amigos De Acapulco,Chico,2.5,184,['Mexican restaurant']
