name,latitude,longitude
Cowboy Burgers & BBQ,34.0799951,-117.98895139999999
Mijita,37.7781747,-122.3907248
La Superior Panaderia,34.0545417,-118.27676749999999
Taco Shack,33.943177,-117.990859
Tacos Dos Primos,37.7442557,-122.1698268
El Guero 2,32.8422236,-116.9868341
MJ CAFE,33.996811699999995,-118.1481783
Cemitas,34.0268173,-118.3931825
Mexican On The Pier,33.839306,-118.3917182
Con sabor a Mexico,37.3253588,-121.89853699999999
Trevino's,37.9275935,-122.3205368
Lolita's Mexican Food,32.771033599999996,-117.0702359
El Palenque,37.6234201,-121.0188762
EL OASIS FRUTAL,34.0918069,-117.44696669999999
La Michoacana,34.0819621,-117.6891107
Taqueria La Fiesta,33.732498899999996,-117.88630739999999
El Jefes Taco Shop,32.770024299999996,-117.25274259999999
Terraza Tequila,33.9871747,-118.18817569999999
Taco Truck,35.9649821,-119.2922385
Tacos Y Mariscos,33.7384074,-118.2880763
Guadalajara Market,37.6072901,-120.9939017
La Papa Loca,34.0331421,-118.24578369999999
Sharky's Woodfired Mexican Grill,33.6967595,-117.82829869999999
Cactus Bar & Grill,35.3830556,-119.0547222
Chavez Guadalupe,33.9940754,-118.2780823
Restaurant Pollo Al Carbon,34.034568,-118.25746699999999
Viva Mexico Paleteria y Antojitos Mexicanos,37.3518967,-121.8709604
Tacos El Bronco,33.966341,-118.256726
Baja Fresh Mexican Grill,37.5109248,-122.26550839999999
Hugo's Mexican Grill,37.3856331,-120.72136739999999
Albeto’s Taco Shop,32.6080184,-117.067295
"Tonantzin ""Taco Goddess""",38.0094985,-121.3194022
Tacos fiesta LA,34.164698099999995,-118.362022
El Paraiso Food Truck,33.7371544,-117.8681543
Quesadilla Loca Estilo D.F Antojitos Mexicanos,33.778884,-118.2757547
Taco Grande,34.5211417,-117.3331384
La Gran Villa,35.3192259,-119.0735838
Commerce Birrieria,33.975412899999995,-118.12436029999999
"Ahumadas Mexican Grill and Tacos,",33.9313656,-117.40465599999999
Taco Bell,33.9451332,-118.34423059999999
Taco Chido,38.442263,-122.703448
Taqueria Santa Rosa,38.4291548,-122.74208139999999
Taquería Zapata,32.754745299999996,-117.12317879999999
Frida Tacos Melrose,34.083619299999995,-118.3468834
Estrella Market & Liquor,34.0799909,-117.98650409999999
Tacos Los Potrillos,34.008961299999996,-117.88596799999999
El Tortillazo Mexican food,34.2086104,-118.42254039999999
Antojitos Denises,34.0187333,-118.18710879999999
El Abuelo #2,35.3679408,-118.96786399999999
Mexipino Craft,32.5967963,-117.0767497
Cantina California,37.251453999999995,-121.8622321
La Mancha,34.2687175,-119.2487706
Fiesta Mexican Grille,32.8936078,-117.20371879999999
Panda Gordo,35.3737825,-118.96726029999999
Tacos El Tijuanazo,34.2010335,-118.50922779999999
Cha Cha Cha Cuba,37.5667695,-122.32396829999999
Tequila Restaurant,37.300123,-120.47887999999999
Mariscos La Morena,32.7562516,-117.09202909999999
Taqueria El Zacatecano,33.7820198,-117.2444079
Zócalo Folsom,38.6553878,-121.1251413
e•'lo•te,33.2057692,-117.03292379999999
Taqueria Corral,37.9970893,-121.8220295
Pupuseria La Paz,37.9585745,-122.35633659999999
Burrito Truck,37.767871199999995,-122.2193733
Garcias Restaurant & Catering,34.2041738,-119.1755417
Cesi's Cafe,35.8874861,-119.48813609999999
Tutis Fruties ice cream parlor,36.733342,-119.78973599999999
Cecilia's Mexican Restaurant,37.0624587,-120.8491521
Pepe's Taqueria,37.7924983,-122.3931387
La Estrella Tacos,34.120244,-118.199534
La Guadalupana Meat Market,35.962241999999996,-119.04192339999999
Crazy Tacos On 9th,34.0421707,-118.2560441
El Quetzal Restaurant,36.8078035,-119.70695479999999
Mi Lindo Apatzingan #2,33.917395,-117.472933
Fiestacos,33.9827272,-117.34106179999999
La Princesita Taco Truck,32.7828766,-117.1723128
Cervantes Mexican Food,33.8340057,-117.9158447
Mama Testa Taqueria,32.916534399999996,-117.1259195
Taqueria De Anda,33.829110299999996,-117.9765042
Merendero San Marcos,34.0358257,-117.93627240000001
La Familia Restaurant,34.0627041,-117.25394519999999
Mariscos Pueblo Culiche,33.7418068,-117.88487719999999
Los Tapatios,34.578967899999995,-118.08427329999999
Villa Del Sol Mexican Restuarant,34.257922199999996,-118.58092529999999
Carnitas Taqueria Nueva Italia,36.7658947,-119.7541308
Chipotle Mexican Grill,34.278766,-118.8667553
Tacos Playa De Oro,34.2241096,-118.58875479999999
Taqueria El Taconazo,37.360746,-121.9480835
Tacos Estilo DF,33.7825355,-118.2747256
Tacos La Penca Azul,37.768422199999996,-122.2193514
7 Luminarias,34.9695099,-120.57334929999999
Tacos el Fogon,37.4709584,-122.2021862
Taqueria La Plebe and More,34.2270129,-118.53645549999999
Rico's Taqueria,39.7596226,-121.6243545
TACOS MARY,34.221328,-118.3725743
Tia's Laura Mexican Food,33.8814448,-118.29104079999999
Dr. Burrito,37.410322,-122.0147743
Mariscos Archibaldo,37.295037,-120.48392559999999
Rosarito Grill,34.4164015,-118.4751845
Pollo Master,34.0603541,-118.2755086
Los Tripones,34.181391,-118.370081
La Pasadita,38.6771287,-121.7897385
La Pancita Feliz,33.935925,-118.0105973
Panaderia Amarilla,34.036311999999995,-118.257656
Tacos los 2 pollitos,33.7896804,-118.1929188
Sunrise Food Market & Liquor,36.960191,-120.04876499999999
El Favorito Taqueria,38.710065199999995,-121.08464769999999
Taqueria Plaza Mexico,37.991158999999996,-121.82360569999999
Mayah’s Restaurant Cafe,37.7672999,-122.4063407
Acai Republic,33.8870611,-117.8663304
Taco Bell,34.0344,-117.321
Taco truck tho,34.2232696,-118.5708186
Fatboys Taco,34.5796588,-118.1234688
El Torito Grill,33.8350066,-118.35632349999999
Tamara's Tamales,33.9922295,-118.4434873
Baiano Pizzeria - Berkeley,37.8728367,-122.2734581
Doña Estela Mariscos,34.046647,-118.237652
Tac-oh!,37.3039142,-121.89741579999999
Plata's Mexican Food,34.913362,-117.0236647
Los Primos Mexican Food,32.6527242,-116.96970329999999
Tacos Campestre,33.8086272,-117.225338
La Sirena Grill,33.9067228,-118.39052249999999
Mendocino Taquería,39.306987,-123.798333
Honduras kitchen,37.7149511,-122.44250009999999
Chicos Grill,37.4497509,-122.2315125
Camino Real Café,36.904171,-121.7485962
Tic Tac Restaurant,34.0202759,-117.9534915
BARBACOA MORALES,34.016608999999995,-118.18507
Tacos El CUÑADO,34.066407999999996,-117.7210121
El Indio,34.2642314,-118.4249617
La Rinconada Mexican Restaurant,33.7487463,-117.8698807
South Harbor Waterfront,37.662222199999995,-122.3836111
Laco Taco,34.4450431,-118.63896749999999
Mi Casita Purepecha,34.121637299999996,-117.2955102
O' Paloma,33.833925799999996,-118.1846824
Sancho's Taqueria,37.496474,-122.24809429999999
Las Cocineras Restaurant,37.7598556,-122.41457539999999
QDOBA Mexican Eats,33.792823,-117.8502704
"Justin Queso's Tex-Mex Restaurant & Bar - Mexican Food & More: Brunch, Lunch, Dinner & Late Night Drinks",34.0908826,-118.38610489999999
Mi Lindo Sinaloa Coachella,33.6895178,-116.18373179999999
Tury's Tacos,32.6980984,-117.1397799
El Gallo Giro,40.1802291,-122.2296142
Foodtruck,38.6805277,-121.7648517
Tacos Los Amigos,35.3712504,-118.971127
Marco's Restaurant,33.0369716,-115.62196639999999
De Oro La Puerta Mexican Restaurant,33.6733978,-117.9732719
Manoly's Bakery,34.0431907,-118.4579859
Taqueria Lago Azul,34.3546516,-119.0572031
Taco Bravo,34.0430475,-118.27447009999999
Alberto's Mexican Food,34.0854996,-117.6710361
Habanero Grill,34.058907,-118.41518909999999
El Capitan Taqueria,37.792795399999996,-122.42138949999999
Rebel Tacos,33.5245692,-117.1546001
taide's bionicos,33.9527778,-118.1944444
El Buen Taco,34.0543421,-117.7726569
Cafe Taboo,37.7616915,-122.40940049999999
Baja Fresh Mexican Grill,37.657047,-121.897301
El Merendero,32.808567499999995,-115.570375
La Catrina Restaurant,34.032593,-118.29640099999999
Restaurante El Gordo,34.2087417,-118.3885639
Tacos Catrina,38.0209726,-121.35983399999999
Saltillo Tortilleria,36.693556199999996,-121.59503579999999
Chuys tacos & bionicos,33.9381522,-118.21370999999999
Tierra Caliente Restaurant,37.968404,-121.27117559999999
"""BLUE ZEBRA"" LA ZEBRA AZUL RESTAURANT BAR, NIGHT CLUB",38.122705599999996,-121.26005629999999
Taqueria El Mexicano,37.4707874,-121.12771169999999
Don Quixote,37.0526122,-122.0734734
HomeState,34.1799488,-118.1592203
Carlito's Restaurant,36.682367899999996,-121.6690708
Los Alazanes Mexican Food,34.132576,-117.9859238
Taqueria Mazatlan,34.0841102,-117.31417839999999
LA PUREPECHA COCINA MEXICANA,34.0180455,-118.4901888
El Cesar,36.5445953,-119.2881192
Viva Zapata Restaurant & Cafe,34.0629889,-118.0575111
Aztec Grill,38.5485153,-122.8107196
Baja Bud's Restaurants,34.0479925,-118.4631055
Mariscos Costa Mar Restaurant,34.5796586,-118.12351679999999
Tortas El Guero,34.0576626,-117.6890083
Valentinas Taco Shop,32.5690691,-117.0046138
Pacific West General Store,34.0389023,-118.5548005
Oasis Burger,34.1503702,-117.2292126
Dunagan's Market,34.5789925,-117.4042267
Las Cabañas Mexican Grill & Taqueria,37.872726,-122.27330860000001
Raspados California,36.8010902,-119.7901687
Tacos a Cabron #2,34.0185816,-118.20614219999999
Paiche,33.9861837,-118.44198469999999
Mariscos Yucatan,33.9446192,-118.20809299999999
El Nopal Mexican Grill,38.5744896,-121.4791139
El asadero taco grill,35.382928899999996,-118.99854069999999
Restaurant Miramar,34.1953062,-119.17765
Los Gallos Taqueria,37.549374799999995,-122.0496299
Taqueria Guerrero,33.9416684,-118.02901179999999
TACOS COTIJA,40.1769464,-122.23915389999999
Salt & Pepper Taqueria and Catering,37.5194803,-120.8866979
Tacos Roger #1,34.0817245,-118.2869786
Tropikal Calle 8,34.697661,-118.14161
El Mexicano Taqueria,36.6055716,-119.78426689999999
El Gallo Giro,34.2773216,-118.45148839999999
Corazon Cocina,33.788998,-117.94086899999999
El Centro,39.1203806,-121.6162516
Mr V's Philly Cheesesteak & Burritos,33.9520785,-118.3087661
Hidalgo Tacos,33.9242568,-118.2544362
Suazos Tacos,33.8125877,-117.9924545
Fuego,33.9586725,-118.2326803
Rikas Peruvian cuisine,34.0693118,-118.29323049999999
La Estrella,39.4440543,-123.8057721
El Pollo Rico,34.435876,-119.8230904
Rancho Medrano,38.582149799999996,-122.84768039999999
Tony's #1 Mexican Grill,34.285606699999995,-118.5008505
Chevys,37.3965086,-122.1025871
Agave Azul Kitchen & Tequila Bar,33.863332199999995,-118.3999826
Los Portales Market and Carniceria,39.136147699999995,-121.6145016
El Valiente Mexican Grill,34.103628,-117.87294589999999
Sabor Mexicano Restaurant,34.0423496,-118.2806174
Taco Lullus,33.9247483,-118.0468259
Tacos El Gordo Authentic Mexican Food,35.331066799999995,-119.01374059999999
Mi Burrito Mexican Grill,33.8190631,-118.3877505
